,target,output,question
0,yes,no,The football is in the kitchen.
1,no,yes. ,The football is in the garden.
2,yes,$no$,The milk is in the garden.
3,no,$no$,The milk is in the bedroom.
4,yes,no,The apple is in the bedroom.
5,no,$no$ ,The apple is in the office.
6,yes,$no$ ,The apple is in the bedroom.
7,no,$no$ ,The apple is in the office.
8,yes,$yes$ ,The apple is in the kitchen.
9,no,no. ,The apple is in the hallway.
10,yes,$no$ ,The apple is in the hallway.
11,no,$no$ ,The apple is in the bathroom.
12,yes,$no$ ,The milk is in the kitchen.
13,no,$no$ ,The milk is in the hallway.
14,yes,$no$ ,The milk is in the garden.
15,no,$no$ ,The milk is in the hallway.
16,yes,$no$ ,The milk is in the bedroom.
17,no,$no$ ,The milk is in the hallway.
18,yes,$no$ ,The milk is in the bathroom.
19,no,$no$ ,The milk is in the bedroom.
20,yes,$no$ ,The football is in the bathroom.
21,no,$no$ ,The football is in the office.
22,yes,$no$ ,The milk is in the bedroom.
23,no,$no$ ,The milk is in the garden.
24,yes,$no$,The apple is in the bathroom.
25,no,$no$ ,The apple is in the bedroom.
26,yes,$no$ ,The football is in the kitchen.
27,no,$no$ ,The football is in the bathroom.
28,yes,$no$ ,The apple is in the bedroom.
29,no,$no$ ,The apple is in the hallway.
30,yes,$no$ ,The apple is in the garden.
31,no,$no$ ,The apple is in the kitchen.
32,yes,$no$ ,The football is in the bedroom.
33,no,$no$ ,The football is in the bathroom.
34,yes,$no$ ,The apple is in the bedroom.
35,no,$no$ ,The apple is in the bathroom.
36,yes,$no$ ,The milk is in the garden.
37,no,$no$ ,The milk is in the kitchen.
38,yes,$no$ ,The milk is in the garden.
39,no,$no$ ,The milk is in the office.
40,yes,$yes$ ,The apple is in the office.
41,no,$yes$ ,The apple is in the garden.
42,yes,$no$,The milk is in the bedroom.
43,no,$no$,The milk is in the bathroom.
44,yes,$no$,The milk is in the garden.
45,no,$no$,The milk is in the office.
46,yes,$no$ ,The milk is in the bathroom.
47,no,$no$ ,The milk is in the kitchen.
48,yes,no,The apple is in the office.
49,no,no ,The apple is in the kitchen.
50,yes,$no$ ,The football is in the garden.
51,no,$no$ ,The football is in the hallway.
52,yes,$no$,The football is in the garden.
53,no,$no$,The football is in the bathroom.
54,yes,"no
",The apple is in the bedroom.
55,no,$no$ ,The apple is in the bathroom.
56,yes,$yes$ ,The apple is in the hallway.
57,no,$no$ ,The apple is in the bathroom.
58,yes,$no$ ,The apple is in the hallway.
59,no,$no$ ,The apple is in the garden.
60,yes,$no$ ,The apple is in the hallway.
61,no,$no$ ,The apple is in the garden.
62,yes,no ,The football is in the garden.
63,no,$no$ ,The football is in the office.
64,yes,$no$ ,The apple is in the hallway.
65,no,$no$ ,The apple is in the garden.
66,yes,$no$ ,The football is in the kitchen.
67,no,$no$ ,The football is in the bedroom.
68,yes,$no$ ,The milk is in the hallway.
69,no,$no$ ,The milk is in the kitchen.
70,yes,$no$ ,The apple is in the kitchen.
71,no,no ,The apple is in the garden.
72,yes,$no$,The milk is in the office.
73,no,$no$,The milk is in the bedroom.
74,yes,$no$ ,The milk is in the hallway.
75,no,$no$,The milk is in the office.
76,yes,$no$ ,The milk is in the bathroom.
77,no,$no$ ,The milk is in the office.
78,yes,$no$,The milk is in the bathroom.
79,no,$no$,The milk is in the hallway.
80,yes,$no$ ,The football is in the bathroom.
81,no,$yes$ ,The football is in the office.
82,yes,$no$ ,The football is in the hallway.
